lwage,yob,draftelig,veteran
4.6122999,50,0,0
5.4390998,50,1,0
5.4891,50,0,0
5.3808999,50,0,0
5.5956001,50,0,1
5.7094002,50,1,1
5.1729002,50,0,1
5.8431001,50,0,0
5.9310999,50,0,0
5.7291999,50,0,0
5.5651999,50,0,1
5.9169998,50,1,1
6.8685002,50,0,1
5.461,50,1,0
6.0254002,50,0,1
5.5602002,50,0,0
6.5218,50,0,0
5.0493002,50,1,0
5.6855001,50,1,0
5.7002001,50,1,0
5.3099999,50,0,0
6.2972002,50,0,1
6.2972002,50,0,1
6.2280002,50,1,0
6.6343999,50,0,0
5.1687999,50,0,0
5.2632999,50,1,0
6.1518002,50,0,0
5.013,50,0,0
4.4159999,50,1,1
5.2409,50,1,1
5.7094002,50,0,0
6.0475998,50,0,0
5.1285,50,0,0
6.0254002,50,0,0
5.6908998,50,0,0
4.8354001,50,1,0
5.5145998,50,0,1
5.1985998,50,0,0
5.8042998,50,0,1
4.8884001,50,1,0
7.1931,50,1,1
5.9805002,50,0,0
5.5317998,50,0,1
5.8511,50,0,0
5.7153001,50,1,0
5.8649998,50,1,1
5.0042,50,0,0
6.1236,50,0,0
6.0302,50,1,1
6.3853998,50,0,0
5.743,50,0,1
5.7863998,50,0,0
5.6999002,50,0,0
5.6371999,50,0,0
4.2063999,50,0,0
6.0879002,50,0,1
5.6241999,50,1,0
5.9404998,50,0,0
5.6199002,50,0,0
5.9436998,50,0,0
5.6824002,50,1,1
5.3323002,50,0,0
5.7054,50,0,0
5.7108998,50,0,0
5.4136,50,0,0
4.8842001,50,0,0
5.4349999,50,0,0
5.9502001,50,1,1
5.5351,50,1,1
5.4983001,50,0,0
4.6185999,50,0,0
4.9716001,50,0,1
5.2982998,50,1,0
5.7075,50,1,0
5.7863998,50,0,0
4.7283001,50,0,0
5.0363002,50,0,0
5.9075999,50,0,0
4.8102999,50,0,0
5.8225002,50,1,0
5.4414001,50,0,0
6.1002002,50,1,0
5.6128001,50,0,0
4.9267998,50,0,0
5.7181001,50,0,1
3.8601999,50,0,0
4.4709001,50,0,1
5.9183002,50,0,1
5.8227,50,0,1
6.1795998,50,0,0
5.0429001,50,0,0
6.0009999,50,1,0
5.3968,50,0,0
6.1101999,50,0,0
4.9466,50,0,0
5.9274001,50,1,0
5.7094002,50,0,0
4.6479998,50,0,0
4.3782001,50,0,0
5.2725,50,0,0
5.7863998,50,0,0
5.9805002,50,0,1
5.4661002,50,0,1
5.9914999,50,0,0
5.7909002,50,0,0
5.4949999,50,1,0
5.5542998,50,1,0
3.2576001,50,1,1
6.0714998,50,0,0
7.1349001,50,0,0
5.6405001,50,0,1
5.2480998,50,0,0
3.5797,50,0,0
5.987,50,1,1
5.5433998,50,0,0
5.0991998,50,1,1
5.6128001,50,1,1
5.1293998,50,0,0
5.5285001,50,1,0
5.3238001,50,0,0
6.3130999,50,0,0
5.5145998,50,0,0
4.6683002,50,0,1
5.5699,50,0,1
5.2409,50,0,0
6.1704001,50,0,0
6.3130999,50,0,0
4.6515002,50,0,0
5.2873001,50,1,0
5.1005998,50,0,0
5.5481,50,0,0
5.3116999,50,0,1
5.0401001,50,0,0
5.9264998,50,0,0
5.5351,50,0,0
5.2488999,50,1,1
5.0493002,50,0,1
5.191,50,0,0
5.8225002,50,0,0
5.3976002,50,1,0
5.0493002,50,0,0
5.2845001,50,0,0
5.3014002,50,1,0
5.4414001,50,0,1
4.3558002,50,0,0
5.7094002,50,0,0
5.0250001,50,1,1
5.4863,50,0,0
5.8023,50,0,1
3.2323,50,1,1
4.9466,50,1,1
4.8354001,50,0,0
5.7424998,50,0,0
5.5244999,50,0,1
5.1293998,50,0,0
6.698,50,0,0
5.6554999,50,1,1
6.2617998,50,1,0
5.4966998,50,0,0
5.7832999,50,0,1
6.0366001,50,1,1
5.6128001,50,1,0
5.9408998,50,1,1
5.7189999,50,0,0
5.5956001,50,0,0
5.2409,50,1,0
5.8227,50,0,0
5.6237001,50,1,0
4.3408999,50,1,0
